Image,Species,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16
10091895024_a2ea04cda6_c.jpg,astilbe,263,2086,16400,34493,10045,1740,165,95,48,32,21,6,0,10,35,97
1033455028_f0c6518ec9_c.jpg,astilbe,2607,1788,2001,2880,6501,10880,8447,4064,3274,5883,1850,884,823,1376,8935,3343
10373087134_927b53fb9f_c.jpg,astilbe,421,270,222,315,583,282,283,220,99,28,44,43,68,8223,53376,1059
1052212431_4963309d03_c.jpg,astilbe,4020,5611,5038,17484,20262,988,29,5,0,1,4,9,29,56,4137,7863
1052219251_d03970e956_c.jpg,astilbe,336,4630,18605,37218,4723,20,0,0,0,0,0,0,0,0,0,4
1052586928_366c5255b8_c.jpg,astilbe,309,709,1378,9638,24781,17416,6880,2846,823,421,128,32,25,24,75,51
1052587144_34c9f0714c_c.jpg,astilbe,1455,2054,3809,17883,24835,5318,2285,1241,490,237,135,234,1391,1847,1257,1065
1053073526_188a5b816e_c.jpg,astilbe,4663,4752,4091,11097,33802,3324,71,2,1,4,3,6,10,27,375,3308
1053075100_838051e5b7_c.jpg,astilbe,9083,16463,13211,9099,9102,623,11,6,2,1,6,8,75,451,2721,4674
1053079170_650c3c6af6_c.jpg,astilbe,28,100,22266,37072,5635,341,20,7,9,7,13,17,6,1,9,5
1053080414_1edf92651d_c.jpg,astilbe,5715,4237,3131,5391,24666,13256,3851,282,93,6,7,10,45,55,372,4419
1074784463_46a8df182c_c.jpg,astilbe,28772,7233,6892,10374,372,32,4,3,3,0,0,0,0,0,4,11847
11018294886_306c3ce9db_c.jpg,astilbe,2492,31618,7650,8398,321,52,18,2,3,1,2,2,2,8,2534,12433
1114112634_a74a2d9718_c.jpg,astilbe,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1126428236_a39cc4f40c_c.jpg,astilbe,1317,972,984,2420,15482,23657,16064,1164,97,1,0,0,0,4,296,3078
